#{"t_start": 1743793773.169447, "env_id": "sneaky_enemies"}
r,l,t
2.0,7,28.862985
9.0,16,28.88302
5.0,25,28.914594
8.0,26,28.947173
3.0,7,28.956172
8.0,14,28.973207
3.0,23,29.000759
3.0,15,29.0208
7.0,12,29.036345
6.0,33,29.076421
10.0,29,29.113002
8.0,19,29.136049
3.0,6,29.148584
2.0,7,29.157109
3.0,15,29.175953
4.0,11,29.190289
3.0,19,29.213409
2.0,7,29.221987
2.0,7,29.232131
8.0,14,29.249235
2.0,3,29.253235
4.0,7,29.262803
7.0,14,29.279742
3.0,14,29.296856
3.0,7,29.306397
3.0,19,29.32908
3.0,6,29.338691
2.0,11,29.359404
3.0,11,29.372942
4.0,14,29.390386
9.0,18,29.413532
4.0,11,29.426639
4.0,7,29.436216
12.0,43,29.487102
4.0,9,29.498607
2.0,7,29.507153
8.0,18,29.528165
3.0,8,29.53817
3.0,10,29.550735
3.0,7,29.559279
3.0,6,29.567794
3.0,6,29.575824
4.0,14,29.591967
8.0,26,29.62366
3.0,11,29.637321
1.0,3,29.64132
2.0,7,29.653879
2.0,3,30.825804
9.0,23,30.863897
5.0,20,30.888451
9.0,18,30.915995
3.0,15,30.934012
3.0,9,30.946029
2.0,7,30.955038
3.0,15,30.97406
4.0,15,30.997598
4.0,19,31.02264
9.0,14,31.042195
10.0,26,31.073725
2.0,7,31.082235
3.0,18,31.103347
10.0,17,31.125997
4.0,12,31.140159
2.0,15,31.159772
2.0,7,31.168288
7.0,10,31.180807
12.0,44,31.233809
5.0,26,31.265871
4.0,15,31.28441
4.0,9,31.295983
4.0,12,31.310131
4.0,26,31.343951
11.0,23,31.371608
9.0,17,31.391712
8.0,14,31.408803
2.0,7,31.41737
8.0,18,31.440063
6.0,19,31.463137
7.0,10,31.476196
3.0,9,31.486754
3.0,27,31.51851
3.0,17,31.541043
4.0,10,31.553561
3.0,15,31.572604
4.0,11,31.587641
3.0,8,31.597159
8.0,18,31.620205
8.0,14,31.636739
2.0,7,31.647267
4.0,22,31.674446
3.0,11,31.69008
4.0,23,31.716732
2.0,7,31.725738
4.0,23,31.753793
7.0,23,31.781027
13.0,42,31.835042
3.0,16,31.854195
3.0,11,31.86921
4.0,12,31.885755
7.0,12,31.900876
9.0,23,31.928417
11.0,26,31.960368
4.0,19,31.983427
2.0,7,31.993946
7.0,14,32.01098
9.0,18,32.034536
7.0,35,32.079146
3.0,7,32.088661
4.0,14,32.105932
8.0,18,32.128484
2.0,7,32.137594
5.0,13,32.155109
3.0,27,32.18795
5.0,12,32.203122
3.0,8,32.213659
7.0,22,32.240187
3.0,10,32.25276
4.0,11,32.26577
3.0,19,32.292577
3.0,9,32.303149
4.0,7,32.312721
5.0,24,32.346438
2.0,7,32.354444
3.0,4,32.360965
2.0,19,32.385001
11.0,63,32.46086
2.0,7,32.46943
4.0,10,32.482464
11.0,84,32.585186
4.0,6,32.592703
4.0,15,32.611741
2.0,4,32.617253
4.0,18,32.638808
3.0,17,32.660848
3.0,15,32.679884
2.0,7,32.688406
3.0,7,32.697917
3.0,8,32.708441
8.0,24,32.738508
2.0,19,32.760543
4.0,23,32.790105
8.0,14,32.807134
2.0,11,32.821664
4.0,9,32.834699
3.0,7,32.844224
8.0,11,32.858907
7.0,10,32.872417
11.0,94,32.984624
4.0,8,32.997659
4.0,6,33.004659
4.0,19,33.034745
3.0,7,33.044266
4.0,19,33.068868
10.0,34,33.109126
3.0,11,33.122272
2.0,7,33.130814
3.0,23,33.159009
8.0,22,33.18516
5.0,16,33.205195
4.0,27,33.238966
3.0,12,33.253477
11.0,19,33.277045
4.0,37,33.323278
2.0,3,33.326849
4.0,18,33.34908
2.0,11,33.362593
9.0,14,33.379535
8.0,18,33.402595
2.0,23,34.624291
8.0,17,34.654353
4.0,19,34.681895
3.0,9,34.697922
3.0,55,34.798136
10.0,19,34.824173
11.0,22,34.85393
3.0,5,34.861449
7.0,14,34.880484
7.0,18,34.90604
3.0,14,34.923571
4.0,10,34.937107
3.0,12,34.957115
4.0,8,34.967626
3.0,5,34.973632
7.0,12,34.98967
9.0,18,35.011704
3.0,23,35.041779
3.0,7,35.051885
3.0,7,35.061985
4.0,15,35.080007
11.0,19,35.102881
4.0,5,35.109399
3.0,6,35.117969
3.0,8,35.127518
4.0,13,35.143063
3.0,4,35.149405
4.0,7,35.15895
3.0,13,35.175975
9.0,30,35.212057
4.0,30,35.24969
4.0,12,35.264207
4.0,9,35.274724
10.0,25,35.308384
3.0,9,35.319929
4.0,9,35.331472
3.0,11,35.344985
3.0,15,35.364023
3.0,8,35.374541
2.0,19,35.399099
4.0,12,35.414618
4.0,11,35.427646
3.0,15,35.446676
9.0,19,35.471811
3.0,8,35.482327
4.0,10,35.494846
3.0,10,35.506881
2.0,11,35.521397
4.0,41,35.572038
5.0,19,35.596587
3.0,11,35.611119
3.0,11,35.624638
7.0,10,35.637669
11.0,51,35.702943
3.0,7,35.712006
10.0,47,35.766245
2.0,7,35.77525
12.0,196,36.006333
2.0,11,36.019884
4.0,15,36.038489
10.0,21,36.064055
10.0,21,36.09161
9.0,18,36.11367
9.0,16,36.13377
13.0,39,36.180239
4.0,8,36.1906
2.0,7,36.199181
4.0,15,36.217269
5.0,43,36.271014
4.0,20,36.296031
4.0,14,36.313561
2.0,7,36.323084
3.0,11,36.340128
2.0,11,36.353698
3.0,6,36.361235
3.0,14,36.378958
7.0,15,36.396047
5.0,31,36.434242
9.0,18,36.457369
4.0,19,36.480408
6.0,16,36.501446
4.0,8,36.511965
4.0,19,36.535
4.0,15,36.553017
3.0,9,36.564159
3.0,6,36.572681
4.0,19,36.594768
9.0,26,36.628666
5.0,12,36.643238
3.0,15,36.661242
5.0,35,36.703287
3.0,5,36.70986
10.0,35,36.752276
8.0,14,36.769019
2.0,7,36.778118
8.0,23,36.805216
3.0,7,36.813754
8.0,18,36.836374
4.0,15,36.85398
4.0,7,36.863415
4.0,14,36.880274
10.0,42,36.936308
2.0,7,36.944345
2.0,11,36.96014
3.0,7,36.969216
11.0,24,36.998873
3.0,24,37.028222
10.0,17,37.049306
4.0,11,37.062792
4.0,10,37.076826
5.0,11,37.090348
4.0,8,37.100866
3.0,15,37.119902
3.0,4,37.124902
3.0,5,37.13242
3.0,9,37.144507
3.0,5,37.152052
2.0,7,37.163115
7.0,22,37.189759
10.0,62,38.427341
3.0,5,38.433344
7.0,14,38.453915
