#{"t_start": 1743754411.2811239, "env_id": "sneaky_enemies"}
r,l,t
5.0,13,16.519182
2.0,7,16.528784
3.0,27,16.560471
4.0,14,16.578181
3.0,16,16.596862
2.0,19,16.619937
4.0,11,16.632523
3.0,23,16.66124
4.0,11,16.674346
3.0,33,16.713105
4.0,13,16.729218
4.0,9,16.73979
5.0,28,16.772523
10.0,36,16.816015
3.0,23,16.842822
6.0,15,16.860964
3.0,11,16.874043
3.0,15,16.892278
5.0,27,16.922967
4.0,26,16.952672
3.0,7,16.962214
2.0,7,16.970807
11.0,28,17.003036
6.0,21,17.028504
3.0,12,17.043043
2.0,11,17.056155
4.0,20,17.080082
2.0,11,17.092643
3.0,33,17.131925
10.0,34,17.171175
2.0,9,17.181719
3.0,11,17.195858
4.0,14,17.212425
3.0,11,17.225174
3.0,19,17.249324
1.0,3,17.253358
5.0,23,17.281014
3.0,15,17.299127
2.0,7,17.307734
3.0,15,18.482398
3.0,15,18.507442
10.0,34,18.554217
10.0,35,18.598323
3.0,11,18.616345
2.0,19,18.644876
5.0,10,18.660391
8.0,27,18.696016
2.0,19,18.719099
2.0,19,18.743125
2.0,5,18.749636
5.0,15,18.768656
10.0,42,18.820023
4.0,11,18.834706
4.0,51,18.894423
4.0,26,18.926104
4.0,9,18.936701
5.0,17,18.957842
3.0,15,18.975992
4.0,47,19.031322
3.0,11,19.044434
3.0,29,19.083003
5.0,40,19.134326
3.0,35,19.181407
5.0,25,19.213994
3.0,11,19.228615
4.0,23,19.258276
2.0,17,19.280315
3.0,7,19.290989
2.0,11,19.306011
3.0,23,19.342562
3.0,6,19.354081
5.0,16,19.374964
4.0,27,19.407158
2.0,11,19.426722
3.0,7,19.437241
5.0,25,19.466962
4.0,11,19.484592
5.0,19,19.510249
4.0,19,19.534064
2.0,11,19.547199
2.0,15,19.566276
7.0,14,19.582777
3.0,15,19.601457
6.0,51,19.661832
3.0,22,19.688767
3.0,36,19.732982
1.0,3,19.737549
4.0,7,19.74706
11.0,33,19.790779
3.0,15,19.809929
2.0,4,19.81608
5.0,19,19.842176
4.0,19,19.866921
2.0,7,19.877448
8.0,26,19.911593
1.0,18,19.93421
4.0,19,19.958188
3.0,19,19.981326
1.0,10,19.993982
4.0,13,20.010501
2.0,7,20.020045
2.0,8,20.030583
