#{"t_start": 1743754295.1452782, "env_id": "sneaky_enemies"}
r,l,t
3.0,15,18.226456
3.0,24,18.258009
4.0,16,18.279633
3.0,7,18.289204
4.0,19,18.315348
4.0,15,18.334921
5.0,31,18.37499
6.0,20,18.400535
3.0,7,18.410064
3.0,17,18.432718
4.0,7,18.442317
5.0,31,18.480398
3.0,23,18.509926
2.0,7,18.51949
4.0,15,18.537617
10.0,18,18.561321
2.0,7,18.569897
2.0,7,18.579432
5.0,26,19.83969
3.0,23,19.876225
3.0,5,19.884736
3.0,19,19.91226
8.0,23,19.946065
3.0,10,19.959073
2.0,15,19.982112
11.0,36,20.031891
2.0,3,20.036892
5.0,11,20.05091
2.0,3,20.055912
4.0,30,20.094075
4.0,21,20.121674
3.0,9,20.133854
3.0,35,20.1771
5.0,15,20.196961
10.0,56,20.266494
3.0,11,20.279538
3.0,10,20.293087
2.0,7,20.301677
3.0,11,20.31722
4.0,7,20.325764
1.0,2,20.328921
8.0,17,20.351108
4.0,9,20.362254
4.0,26,20.394914
5.0,27,20.428717
2.0,7,20.437723
2.0,7,20.447258
2.0,7,20.455768
8.0,27,20.489822
2.0,7,20.499333
2.0,3,20.504345
2.0,11,20.518867
3.0,27,20.551939
2.0,6,20.560541
4.0,30,20.599669
4.0,15,20.62021
10.0,31,20.660372
3.0,11,20.674899
3.0,23,20.704456
4.0,11,20.718973
2.0,19,20.743536
4.0,27,20.778111
4.0,23,20.80782
4.0,15,20.825907
2.0,8,20.837979
4.0,27,20.874207
2.0,6,20.882804
4.0,14,20.90095
3.0,7,20.911519
8.0,15,20.931207
4.0,15,20.951224
7.0,29,20.986784
3.0,19,21.011882
3.0,15,21.031429
3.0,11,21.04595
5.0,14,21.063985
3.0,15,21.083018
3.0,7,21.092534
2.0,7,21.102053
7.0,24,21.133714
3.0,11,21.148861
6.0,15,21.167476
4.0,15,21.186617
3.0,19,21.21021
3.0,31,21.24912
3.0,11,21.262658
4.0,8,21.273174
7.0,26,21.305847
9.0,41,21.367612
7.0,15,21.387661
6.0,11,21.402731
1.0,4,21.4093
5.0,15,21.429003
8.0,18,21.452122
5.0,17,21.474206
1.0,9,21.48674
3.0,15,21.505858
8.0,24,21.536114
8.0,24,21.566749
2.0,7,21.575978
4.0,10,21.587539
2.0,3,21.593103
2.0,7,21.60168
4.0,21,21.62869
2.0,7,21.63723
8.0,14,21.657343
4.0,43,21.710912
10.0,27,21.745543
3.0,9,21.757116
4.0,11,21.771231
2.0,11,21.784774
4.0,17,21.806816
4.0,21,21.832446
2.0,11,21.847941
5.0,18,21.870494
3.0,7,21.881013
3.0,15,21.900048
8.0,14,21.919074
2.0,11,21.934662
3.0,23,21.964347
2.0,15,21.983424
7.0,14,22.001467
4.0,9,22.013039
3.0,17,22.035161
4.0,10,22.049194
3.0,4,22.055203
3.0,5,22.061718
3.0,6,22.070313
3.0,11,22.084862
4.0,12,22.100887
4.0,18,22.123929
8.0,22,22.15148
2.0,3,22.15648
2.0,7,22.165998
4.0,16,22.186035
3.0,4,22.191551
5.0,23,22.221105
4.0,9,22.232624
12.0,34,22.275696
3.0,15,22.296782
12.0,40,22.349411
8.0,23,22.379974
5.0,27,22.413515
3.0,30,22.453088
3.0,15,22.473124
3.0,11,22.487641
4.0,13,23.669393
4.0,11,23.686911
3.0,7,23.696392
10.0,35,23.74244
4.0,13,23.761459
3.0,8,23.773972
2.0,3,23.779476
7.0,10,23.795006
3.0,19,23.82256
2.0,7,23.834574
8.0,18,23.85759
2.0,3,23.8631
4.0,10,23.875609
3.0,10,23.888114
2.0,15,23.906297
7.0,15,23.924411
2.0,11,23.937551
3.0,4,23.943456
13.0,73,24.030898
8.0,18,24.052498
8.0,27,24.084991
8.0,16,24.104129
3.0,7,24.113703
3.0,19,24.136443
4.0,23,24.164025
3.0,15,24.182197
2.0,7,24.191774
2.0,27,24.224397
2.0,13,24.240952
3.0,14,24.25734
3.0,6,24.265913
5.0,14,24.283062
8.0,30,24.318779
3.0,7,24.32724
3.0,8,24.337378
2.0,7,24.346951
2.0,3,24.351529
2.0,7,24.360101
3.0,11,24.373666
3.0,15,24.391817
3.0,9,24.403394
5.0,31,24.439838
4.0,21,24.465821
3.0,11,24.479876
2.0,17,24.500042
8.0,10,24.512616
8.0,14,24.529768
7.0,60,24.600247
2.0,19,24.625046
3.0,6,24.633085
3.0,20,24.659122
1.0,3,24.663638
10.0,48,24.721747
4.0,11,24.736781
10.0,18,24.759326
3.0,15,24.77785
4.0,12,24.792885
1.0,5,24.800401
4.0,27,24.833473
3.0,8,24.843992
2.0,11,24.857508
7.0,22,24.88793
5.0,30,24.924
1.0,4,24.930516
5.0,14,24.94737
3.0,14,24.965457
12.0,24,24.994118
3.0,7,25.002703
1.0,3,25.007707
3.0,7,25.016277
4.0,10,25.028855
7.0,24,25.058138
2.0,7,25.066709
11.0,67,25.146848
5.0,53,25.21053
10.0,29,25.245765
5.0,27,25.285373
8.0,14,25.303405
2.0,3,25.307405
3.0,10,25.320434
2.0,3,25.326439
2.0,7,25.335466
7.0,11,25.349487
3.0,20,25.374536
3.0,10,25.387053
8.0,26,25.420118
3.0,35,25.467546
9.0,23,25.497265
3.0,11,25.511382
3.0,17,25.533482
10.0,27,25.569039
3.0,10,25.581572
2.0,7,25.59109
4.0,20,25.617127
9.0,26,25.652716
2.0,11,25.668743
2.0,3,25.672756
4.0,10,25.686275
10.0,22,25.713442
8.0,15,25.733685
4.0,13,25.750717
5.0,15,25.769726
4.0,11,25.784237
3.0,15,25.804206
3.0,11,25.823248
3.0,11,25.850314
3.0,27,25.888867
3.0,7,25.899902
3.0,11,25.914421
4.0,9,25.927939
3.0,31,25.970838
5.0,19,25.994884
8.0,42,26.046695
4.0,13,26.062779
3.0,19,26.086833
9.0,31,26.124883
3.0,15,26.144158
4.0,14,26.161206
3.0,14,26.17929
4.0,8,26.188798
2.0,12,26.204319
4.0,11,26.220361
3.0,15,26.238909
2.0,7,26.248919
2.0,3,26.252436
3.0,11,26.267988
8.0,18,26.290612
3.0,16,27.703073
4.0,15,27.73161
9.0,26,27.771191
9.0,24,27.805738
5.0,32,27.854301
4.0,11,27.871329
1.0,5,27.880838
2.0,7,27.89035
8.0,14,27.90886
4.0,11,27.922468
3.0,11,27.937493
12.0,20,27.965052
8.0,23,27.995696
2.0,15,28.026257
9.0,17,28.049398
8.0,23,28.079967
3.0,5,28.087965
7.0,14,28.107908
4.0,20,28.135152
3.0,14,28.153714
3.0,7,28.16323
4.0,12,28.180354
11.0,40,28.233772
8.0,22,28.262247
2.0,3,28.266249
3.0,7,28.275854
11.0,28,28.31011
10.0,46,28.367297
4.0,8,28.377845
2.0,11,28.392018
2.0,7,28.40158
3.0,19,28.425673
4.0,7,28.434245
4.0,8,28.44533
2.0,19,28.46981
2.0,7,28.479317
7.0,10,28.492879
2.0,10,28.506419
7.0,11,28.520473
5.0,21,28.547036
2.0,11,28.561074
7.0,11,28.575595
4.0,7,28.585111
3.0,11,28.599134
7.0,14,28.617258
8.0,22,28.646815
4.0,31,28.685895
4.0,16,28.707929
3.0,23,28.738986
4.0,9,28.751603
8.0,14,28.76969
8.0,15,28.788831
2.0,7,28.797868
3.0,8,28.808982
10.0,18,28.832026
4.0,6,28.840109
3.0,6,28.849115
4.0,13,28.865153
2.0,16,28.886192
2.0,23,28.914744
8.0,18,28.938782
3.0,6,28.946301
4.0,7,28.95582
3.0,4,28.962387
2.0,15,28.98109
3.0,5,28.98806
3.0,13,29.004109
3.0,25,29.036662
11.0,21,29.063217
2.0,11,29.077738
5.0,13,29.093775
2.0,7,29.10429
4.0,14,29.122327
4.0,11,29.137871
2.0,7,29.146422
4.0,10,29.160485
3.0,5,29.167482
4.0,14,29.184541
7.0,14,29.202239
4.0,11,29.216715
4.0,19,29.240307
3.0,10,29.252879
4.0,11,29.267357
9.0,20,29.291887
1.0,3,29.29589
8.0,11,29.310795
2.0,11,29.324404
5.0,19,29.347517
8.0,11,29.362576
3.0,7,29.372096
4.0,19,29.399134
13.0,29,29.435211
3.0,4,29.44072
3.0,11,29.455246
1.0,7,29.464762
3.0,8,29.475284
3.0,6,29.483799
3.0,27,29.517355
8.0,10,29.530385
4.0,11,29.54463
4.0,12,29.561445
3.0,12,29.576966
2.0,12,29.592002
10.0,15,29.612038
3.0,11,29.62556
2.0,15,29.645594
5.0,12,29.660615
8.0,22,29.688788
2.0,15,29.707842
3.0,10,29.720859
3.0,15,29.739879
12.0,23,29.768933
2.0,11,29.783463
3.0,6,29.791981
5.0,33,29.833056
5.0,33,29.873796
2.0,3,29.878766
3.0,23,29.906271
11.0,45,29.962204
3.0,11,29.980277
4.0,10,29.994764
3.0,10,30.007279
2.0,9,30.018788
4.0,12,30.034822
9.0,15,30.053038
3.0,13,30.070164
8.0,20,30.097328
11.0,19,30.122936
3.0,7,30.133455
2.0,7,30.14254
3.0,6,30.151061
2.0,3,30.157062
3.0,31,30.196138
3.0,11,30.210166
7.0,14,30.229196
2.0,7,30.238209
7.0,11,30.253243
5.0,19,30.277283
4.0,12,30.293317
3.0,7,30.302837
7.0,19,30.326984
8.0,22,30.354337
5.0,37,30.406049
3.0,35,31.731083
7.0,14,31.754604
8.0,19,31.782151
3.0,9,31.79667
2.0,15,31.820221
11.0,34,31.866787
2.0,11,31.881811
2.0,6,31.891318
3.0,15,31.910351
7.0,10,31.926875
7.0,10,31.940896
6.0,15,31.962441
10.0,18,31.985468
12.0,43,32.043073
9.0,22,32.073239
3.0,23,32.104775
3.0,11,32.119792
3.0,7,32.129308
9.0,14,32.147355
2.0,7,32.155875
9.0,14,32.17391
3.0,7,32.182426
4.0,6,32.190947
2.0,17,32.211984
3.0,7,32.221498
2.0,19,32.24505
2.0,7,32.254595
4.0,11,32.269617
5.0,23,32.297904
10.0,20,32.322428
10.0,30,32.357687
3.0,21,32.382408
4.0,18,32.404391
7.0,18,32.425508
2.0,7,32.435105
4.0,19,32.456683
8.0,14,32.473834
2.0,15,32.492891
9.0,15,32.511967
2.0,3,32.515941
4.0,9,32.526548
3.0,7,32.535117
8.0,22,32.56114
10.0,22,32.587274
10.0,22,32.61399
7.0,22,32.639664
2.0,11,32.652837
3.0,5,32.659375
3.0,23,32.686552
7.0,25,32.715277
4.0,17,32.735386
11.0,26,32.766674
8.0,22,32.794392
7.0,19,32.817576
9.0,14,32.834722
12.0,43,32.8868
9.0,19,32.909343
3.0,14,32.926873
8.0,14,32.944414
3.0,15,32.961594
9.0,26,32.993174
8.0,27,33.024798
3.0,7,33.034314
13.0,41,33.083416
4.0,11,33.097026
8.0,14,33.11416
7.0,14,33.131305
10.0,23,33.159488
7.0,23,33.187349
8.0,18,33.208939
3.0,10,33.221451
4.0,9,33.231963
3.0,7,33.241528
4.0,10,33.253678
2.0,11,33.266228
4.0,23,33.293847
2.0,11,33.307348
4.0,32,33.345062
10.0,34,33.386142
3.0,27,33.4192
3.0,7,33.428212
4.0,15,33.445762
8.0,10,33.458786
3.0,11,33.472316
3.0,6,33.47983
3.0,11,33.493351
3.0,7,33.50287
4.0,11,33.516296
3.0,9,33.527819
4.0,19,33.550892
4.0,11,33.565409
3.0,8,33.57593
3.0,9,33.586447
5.0,13,33.602481
3.0,11,33.617002
3.0,4,33.622518
7.0,14,33.639549
7.0,18,33.661821
10.0,34,33.703896
8.0,14,33.721935
4.0,8,33.731452
3.0,10,33.744971
2.0,6,33.753042
7.0,18,33.777076
3.0,12,33.794123
3.0,8,33.804631
3.0,8,33.816148
2.0,15,33.836201
2.0,7,33.845226
4.0,9,33.856754
9.0,18,33.880015
9.0,16,33.899607
3.0,11,33.914125
15.0,39,33.962191
9.0,26,33.993733
12.0,21,34.021202
3.0,11,34.035714
