#{"t_start": 1743793390.2158263, "env_id": "sneaky_enemies"}
r,l,t
3.0,7,13.533168
2.0,7,13.543288
4.0,47,13.599065
3.0,7,13.608606
9.0,27,13.643562
3.0,7,13.652106
2.0,11,13.665646
10.0,37,13.71154
5.0,19,13.73479
4.0,8,13.745363
2.0,15,13.763005
2.0,29,13.799159
3.0,15,13.818283
2.0,7,13.826612
2.0,11,13.841675
8.0,22,13.867629
3.0,15,13.887298
7.0,30,13.923351
3.0,5,13.930377
7.0,14,13.947371
2.0,7,13.956612
1.0,4,13.961803
2.0,7,13.972399
3.0,15,13.990507
2.0,15,14.011766
3.0,15,14.030309
3.0,7,14.039604
9.0,30,14.077175
5.0,15,14.09631
3.0,9,14.106691
3.0,15,15.397782
2.0,7,15.407294
8.0,10,15.420314
3.0,17,15.44535
9.0,23,15.477903
3.0,10,15.49042
3.0,9,15.502561
4.0,13,15.518843
2.0,7,15.528363
3.0,8,15.53888
3.0,21,15.572395
2.0,7,15.583913
1.0,9,15.602457
4.0,19,15.627481
3.0,15,15.648499
5.0,21,15.677078
4.0,14,15.694611
2.0,11,15.707151
4.0,13,15.724262
3.0,6,15.731832
2.0,3,15.735833
3.0,7,15.744402
3.0,9,15.755968
5.0,27,15.789535
3.0,15,15.809082
4.0,13,15.824231
1.0,4,15.829229
1.0,5,15.83581
4.0,33,15.876019
2.0,11,15.890592
3.0,15,15.908985
3.0,10,15.922045
10.0,18,15.944074
4.0,19,15.970605
4.0,10,15.983131
3.0,13,15.999165
3.0,11,16.014204
5.0,20,16.039239
7.0,10,16.054262
4.0,11,16.06777
2.0,3,16.072278
3.0,13,16.087784
11.0,26,16.120526
5.0,11,16.134084
2.0,15,16.152259
5.0,12,16.166831
4.0,10,16.179417
3.0,13,16.196023
2.0,11,16.208604
3.0,9,16.221255
9.0,30,16.257992
5.0,21,16.284573
3.0,7,16.294614
3.0,8,16.305165
2.0,11,16.318318
2.0,11,16.332373
6.0,12,16.347898
3.0,8,16.358417
2.0,7,16.366934
3.0,18,16.398047
3.0,7,16.406554
2.0,8,16.417058
3.0,7,16.426604
3.0,7,16.437099
3.0,19,16.461759
2.0,15,16.48037
4.0,10,16.492994
4.0,23,16.523298
1.0,7,16.53184
2.0,3,16.535862
3.0,21,16.562559
8.0,18,16.584251
5.0,23,16.614442
4.0,12,16.629054
1.0,5,16.635628
4.0,16,16.655292
3.0,9,16.665856
4.0,15,16.687001
9.0,24,16.719251
4.0,19,16.743921
2.0,11,16.75941
4.0,11,16.773519
3.0,24,16.803663
9.0,26,16.835398
4.0,31,16.874495
3.0,21,16.902557
3.0,7,16.911061
1.0,7,16.920579
3.0,6,16.929591
3.0,11,16.943624
8.0,26,16.975866
4.0,5,16.981407
5.0,15,16.999565
3.0,15,17.019426
2.0,11,17.032753
4.0,14,17.052791
10.0,25,17.086132
3.0,18,17.110353
2.0,7,17.119385
4.0,17,17.141076
5.0,17,17.162221
3.0,11,17.175734
3.0,27,17.208823
4.0,19,17.235372
10.0,27,17.268925
2.0,7,17.277441
4.0,27,17.312872
3.0,12,17.327435
3.0,12,17.341548
1.0,5,17.349576
3.0,7,17.358147
7.0,14,17.375854
4.0,31,17.412673
3.0,11,17.427249
4.0,11,17.441354
4.0,11,17.454922
4.0,9,17.467473
8.0,23,17.496753
5.0,16,17.515859
3.0,7,17.525374
3.0,7,17.536887
8.0,14,17.554966
3.0,25,17.585654
4.0,19,17.609218
9.0,24,17.638894
11.0,21,17.66555
11.0,39,17.714269
3.0,23,17.743876
3.0,11,17.758413
4.0,10,17.771434
3.0,8,17.780941
5.0,23,17.812003
4.0,11,17.825516
8.0,31,17.865577
4.0,15,17.884598
3.0,11,17.898624
2.0,5,17.906133
4.0,19,17.933267
5.0,21,17.966357
2.0,11,17.983382
2.0,11,18.000472
2.0,15,18.023026
1.0,3,18.028027
2.0,15,18.048059
3.0,23,19.563065
2.0,7,19.582091
