#{"t_start": 1743396140.4830596, "env_id": "sneaky_enemies"}
r,l,t
2.0,11,18.552387
11.0,33,18.591259
4.0,18,18.613262
4.0,10,18.625258
1.0,5,18.632261
4.0,11,18.645259
3.0,7,18.654258
2.0,7,18.663259
3.0,6,18.67126
9.0,16,18.690259
3.0,7,18.69926
4.0,8,18.709262
3.0,19,18.732261
4.0,7,18.741262
8.0,18,18.762257
2.0,7,18.772261
8.0,19,18.795259
3.0,8,18.805262
5.0,20,18.829259
3.0,5,18.835258
2.0,10,18.847259
3.0,17,18.86826
8.0,14,18.885259
3.0,6,18.892262
3.0,15,18.91123
7.0,10,18.92326
3.0,9,18.934259
9.0,23,18.96226
3.0,11,18.976259
3.0,6,18.983254
9.0,19,19.006259
7.0,14,19.023254
7.0,9,19.034256
3.0,11,19.048229
3.0,15,19.066257
11.0,21,19.091256
3.0,8,19.101259
3.0,7,19.110254
4.0,13,19.126265
4.0,11,19.140231
3.0,11,19.153259
4.0,23,19.18126
3.0,6,19.189259
2.0,7,19.197254
3.0,5,19.20426
3.0,9,19.215259
3.0,15,19.233265
3.0,15,19.251256
4.0,17,19.272261
4.0,13,19.287254
10.0,19,19.310259
3.0,15,19.329259
7.0,15,19.347257
6.0,12,19.362231
2.0,12,19.376259
7.0,10,19.389262
3.0,14,19.406229
10.0,25,19.437227
2.0,7,19.446254
3.0,11,19.460259
8.0,27,19.492264
2.0,7,19.501259
10.0,98,19.614259
3.0,23,19.642256
5.0,15,19.660261
11.0,29,19.694259
1.0,2,19.697259
5.0,14,19.714259
7.0,12,19.72823
5.0,15,19.747258
3.0,17,19.767259
4.0,11,19.781262
7.0,14,19.79823
2.0,11,19.81226
4.0,7,19.821254
3.0,9,19.832259
6.0,23,19.859261
4.0,11,19.872229
3.0,10,19.885259
4.0,23,19.912229
8.0,22,19.939025
3.0,12,19.954054
2.0,11,19.967057
8.0,18,19.989025
4.0,8,19.999054
8.0,14,20.016054
2.0,13,20.032057
12.0,48,20.089055
2.0,15,20.107054
4.0,19,20.130054
4.0,9,20.141054
4.0,20,20.165055
5.0,15,20.184055
2.0,3,20.188054
3.0,5,20.194054
3.0,15,20.213052
2.0,7,20.222054
3.0,14,20.239049
4.0,9,20.250057
7.0,14,20.267057
8.0,19,20.290049
2.0,7,20.299054
3.0,11,20.312049
3.0,7,20.321054
7.0,14,20.338054
10.0,23,20.366027
3.0,6,20.373027
3.0,15,20.391027
4.0,15,20.409027
4.0,9,20.420027
4.0,8,20.430027
2.0,11,20.444027
2.0,7,20.452028
9.0,18,20.474027
9.0,22,20.500027
2.0,7,20.509027
2.0,7,20.518027
11.0,30,20.553027
4.0,11,20.566027
3.0,35,20.607028
8.0,18,20.629025
8.0,19,21.69618
3.0,11,21.711181
3.0,6,21.721181
4.0,7,21.730181
5.0,19,21.75318
10.0,34,21.795183
5.0,20,21.820183
2.0,7,21.829183
2.0,7,21.838183
1.0,7,21.846183
3.0,15,21.86618
3.0,15,21.88418
3.0,5,21.891181
11.0,21,21.916182
4.0,10,21.929183
9.0,14,21.946053
5.0,13,21.961718
8.0,18,21.983723
2.0,3,21.988694
2.0,10,22.000718
3.0,11,22.014696
9.0,15,22.032696
2.0,7,22.042697
1.0,3,22.046696
5.0,19,22.069696
7.0,14,22.086726
6.0,15,22.105723
2.0,3,22.109723
8.0,19,22.132718
2.0,3,22.136721
10.0,32,22.174718
7.0,14,22.191723
4.0,13,22.207723
3.0,27,22.240724
3.0,11,22.254724
8.0,18,22.276277
4.0,10,22.288286
2.0,11,22.302285
3.0,7,22.311285
2.0,15,22.329288
4.0,9,22.341255
8.0,15,22.359285
10.0,25,22.389285
3.0,6,22.397288
9.0,22,22.423289
3.0,11,22.437285
2.0,7,22.445287
4.0,7,22.454288
2.0,7,22.463285
3.0,7,22.472255
3.0,7,22.481255
7.0,31,22.518255
9.0,24,22.547258
12.0,28,22.580258
3.0,7,22.589258
5.0,19,22.612283
8.0,15,22.630287
3.0,7,22.638285
9.0,26,22.669121
3.0,11,22.683116
9.0,14,22.700119
8.0,18,22.721115
2.0,11,22.734119
3.0,27,22.766119
2.0,7,22.775089
4.0,19,22.798089
3.0,7,22.807089
4.0,22,22.833089
2.0,3,22.837089
3.0,15,22.855089
3.0,12,22.871119
3.0,10,22.88312
4.0,18,22.904121
7.0,14,22.921087
3.0,7,22.930119
4.0,9,22.941114
11.0,22,22.967119
8.0,14,22.98412
4.0,10,22.996118
4.0,9,23.007122
4.0,22,23.033114
3.0,7,23.04212
8.0,14,23.059089
9.0,17,23.079089
7.0,12,23.094116
4.0,8,23.10412
3.0,9,23.114114
11.0,26,23.146089
5.0,23,23.174089
8.0,22,23.200089
9.0,15,23.218625
4.0,6,23.226626
3.0,7,23.235626
7.0,22,23.262627
4.0,13,23.278625
4.0,14,23.295625
10.0,14,23.313626
4.0,11,23.326626
7.0,10,23.339626
4.0,6,23.346626
9.0,23,23.374626
2.0,11,23.388625
9.0,22,23.414626
11.0,22,23.441626
3.0,21,23.466655
11.0,24,23.495629
4.0,5,23.502627
3.0,11,23.515629
4.0,11,23.529629
2.0,7,23.53863
9.0,20,23.564023
8.0,10,23.577023
3.0,9,23.593029
9.0,17,23.616054
2.0,7,23.628024
3.0,7,23.637024
1.0,2,23.640024
8.0,15,23.659024
4.0,7,23.668026
2.0,7,23.677024
9.0,14,23.698055
3.0,10,23.711055
5.0,11,23.724055
4.0,11,23.738059
6.0,27,23.773054
8.0,10,23.785054
3.0,6,23.793054
3.0,8,23.803054
