#{"t_start": 1743759168.5538583, "env_id": "sneaky_enemies"}
r,l,t
3.0,11,9.363204
1.0,4,9.368204
4.0,7,9.377204
3.0,7,9.386244
7.0,18,9.406819
8.0,18,9.428787
1.0,3,9.432816
3.0,7,9.441818
1.0,4,9.447814
2.0,9,9.457814
11.0,500,10.033935
1.0,3,10.038933
2.0,5,11.209353
1.0,4,11.216353
11.0,500,11.808596
1.0,4,11.814597
9.0,32,11.853596
1.0,3,11.857594
3.0,5,11.863595
1.0,3,11.867598
5.0,31,11.904168
1.0,5,11.911171
5.0,11,11.926201
3.0,27,11.958201
1.0,4,11.963203
3.0,11,11.977194
3.0,7,11.986198
4.0,7,11.995236
2.0,7,12.003781
4.0,7,12.012784
2.0,4,12.017776
1.0,3,12.021781
7.0,26,12.053781
1.0,3,12.05778
3.0,7,12.066781
2.0,5,12.072781
1.0,4,12.078778
2.0,5,12.08478
2.0,3,12.089812
3.0,11,12.103361
2.0,5,12.109355
10.0,14,12.127356
3.0,9,12.138356
4.0,19,12.161328
1.0,4,12.166356
1.0,3,12.170356
2.0,18,12.192391
1.0,3,12.196391
3.0,17,12.215965
7.0,14,12.232965
1.0,4,12.237966
1.0,3,12.24196
1.0,3,12.245965
3.0,11,12.25996
4.0,7,12.267963
1.0,4,12.273959
1.0,3,12.277965
2.0,6,12.285967
4.0,11,12.299976
2.0,7,12.309495
2.0,3,12.314494
5.0,19,12.337517
1.0,3,12.341518
2.0,23,12.369906
4.0,7,12.378904
2.0,7,12.387915
1.0,3,12.391915
1.0,4,12.397915
1.0,3,12.402433
1.0,4,12.408433
4.0,7,12.417431
1.0,4,12.422431
1.0,7,12.431433
2.0,7,12.440436
1.0,3,12.44543
2.0,8,12.455429
2.0,7,12.464455
2.0,6,12.47246
1.0,4,12.477461
2.0,6,12.48546
1.0,4,12.490495
1.0,7,12.499468
1.0,3,12.503984
2.0,10,12.517013
1.0,3,12.520984
1.0,3,12.526011
4.0,7,12.535011
4.0,11,12.548009
2.0,10,12.560985
3.0,7,12.570008
4.0,7,12.578985
7.0,18,12.600048
1.0,4,12.606619
1.0,3,12.610593
1.0,3,12.615621
2.0,39,12.66162
1.0,4,12.66662
3.0,7,12.675592
4.0,11,12.689627
4.0,7,12.698598
2.0,7,12.707676
9.0,18,12.729716
1.0,4,12.735717
2.0,3,12.740719
2.0,7,12.753747
2.0,8,12.764715
1.0,3,12.769717
1.0,4,12.775716
1.0,3,12.780717
1.0,4,12.787719
2.0,8,12.797721
1.0,3,12.80172
2.0,18,12.823922
1.0,4,12.828927
2.0,7,12.837921
2.0,5,12.845895
1.0,3,12.850892
1.0,3,12.855891
1.0,3,12.860893
4.0,7,12.869922
1.0,4,12.874923
2.0,5,12.881921
2.0,7,12.890929
2.0,15,12.909504
4.0,7,12.919536
4.0,7,12.928502
1.0,3,12.933534
1.0,3,12.937534
4.0,7,12.946531
1.0,4,12.951533
3.0,7,12.961534
1.0,4,12.966535
11.0,158,13.151726
4.0,7,13.159726
9.0,13,13.175726
1.0,3,13.179726
9.0,26,13.211253
1.0,4,13.216253
1.0,3,13.220253
9.0,23,13.248253
3.0,7,13.257253
1.0,3,13.261253
2.0,7,13.270253
11.0,500,15.117214
1.0,12,15.132216
5.0,15,15.151217
2.0,5,15.157215
1.0,4,15.163215
3.0,7,15.172215
1.0,4,15.177214
4.0,7,15.186214
9.0,18,15.207726
1.0,4,15.213728
1.0,4,15.218728
9.0,14,15.235758
1.0,3,15.239758
1.0,4,15.245755
1.0,2,15.248758
1.0,4,15.253764
3.0,19,15.276754
11.0,500,15.841414
8.0,22,15.866443
7.0,14,15.883445
2.0,10,15.895471
4.0,7,15.904016
1.0,4,15.909056
3.0,17,15.929053
1.0,3,15.934055
4.0,11,15.948053
2.0,30,15.983053
2.0,5,15.990091
1.0,4,15.995091
3.0,7,16.004092
1.0,4,16.008662
2.0,3,16.013664
1.0,4,16.01866
2.0,14,16.03466
1.0,5,16.041664
1.0,3,16.045658
1.0,3,16.049668
1.0,5,16.056657
2.0,7,16.065663
1.0,4,16.070663
2.0,7,16.079633
2.0,15,16.097669
4.0,7,16.106246
10.0,17,16.126245
4.0,11,16.139241
2.0,5,16.145246
1.0,3,16.149245
3.0,7,16.158244
2.0,8,16.168244
1.0,4,16.173243
4.0,7,16.181244
2.0,6,16.189244
1.0,3,16.193279
1.0,3,16.197279
1.0,4,16.20225
2.0,7,16.210842
1.0,4,16.215841
4.0,7,16.22484
1.0,5,16.230843
3.0,15,16.248835
1.0,4,16.254814
1.0,4,16.259814
2.0,3,16.263814
9.0,14,16.280814
3.0,7,16.289822
4.0,7,16.297822
1.0,3,16.302822
1.0,3,16.30634
2.0,7,16.315367
1.0,4,16.320368
3.0,11,16.334368
2.0,8,16.344369
7.0,14,16.361341
1.0,4,16.36834
1.0,4,16.37434
2.0,5,16.380337
2.0,7,16.389337
1.0,3,16.393343
2.0,5,16.399343
1.0,7,16.408858
1.0,3,16.412857
4.0,7,16.421857
2.0,7,16.430857
1.0,4,16.435858
7.0,14,16.452857
1.0,3,16.456857
4.0,11,16.470857
3.0,16,16.489861
1.0,4,16.494861
3.0,7,16.502861
1.0,3,16.508373
2.0,5,16.514373
4.0,11,16.528373
1.0,11,16.541373
1.0,4,16.546373
2.0,11,16.560373
4.0,7,16.568372
3.0,7,16.577373
1.0,3,16.581373
2.0,15,16.599378
1.0,3,16.603378
3.0,7,16.611889
4.0,7,16.620889
2.0,3,16.624889
4.0,7,16.633889
1.0,4,16.638889
2.0,3,16.642889
10.0,14,16.659889
1.0,2,16.662889
6.0,12,16.676889
2.0,3,16.680889
1.0,3,16.684889
1.0,3,16.688889
4.0,15,16.707406
11.0,476,17.251784
2.0,3,17.255814
1.0,3,17.260815
11.0,500,19.006261
2.0,4,19.012269
2.0,5,19.018299
1.0,4,19.023296
1.0,3,19.027299
1.0,4,19.033297
2.0,3,19.037297
4.0,16,19.056297
11.0,225,19.314
4.0,7,19.323
1.0,9,19.334
3.0,8,19.344
5.0,11,19.357
2.0,7,19.366034
3.0,14,19.387024
2.0,5,19.396006
7.0,14,19.413548
3.0,7,19.422544
4.0,7,19.431548
3.0,11,19.444547
4.0,17,19.465549
3.0,7,19.474547
1.0,4,19.479547
2.0,8,19.489518
4.0,7,19.498586
4.0,6,19.506118
4.0,10,19.519154
2.0,3,19.523154
2.0,8,19.533159
3.0,19,19.557155
7.0,18,19.579152
2.0,3,19.583155
3.0,6,19.590155
2.0,5,19.597191
5.0,23,19.624764
7.0,10,19.636765
2.0,7,19.64576
3.0,7,19.654768
2.0,3,19.658767
1.0,3,19.662737
4.0,15,19.680764
2.0,5,19.687764
3.0,11,19.700805
1.0,4,19.70634
2.0,11,19.719377
1.0,4,19.725377
2.0,4,19.730376
9.0,23,19.757376
3.0,7,19.766374
2.0,5,19.772349
1.0,8,19.782356
10.0,39,19.82799
1.0,3,19.832009
3.0,8,19.842453
11.0,500,20.412116
2.0,7,20.420104
3.0,15,20.438104
4.0,7,20.447104
4.0,7,20.456104
2.0,6,20.463104
5.0,13,20.479099
11.0,500,22.318142
1.0,3,22.322143
2.0,10,22.334143
4.0,7,22.343143
2.0,5,22.350143
2.0,3,22.355143
1.0,4,22.361144
1.0,2,22.364144
2.0,8,22.374144
2.0,4,22.379143
4.0,7,22.388147
1.0,3,22.393147
1.0,4,22.398153
5.0,11,22.418224
2.0,7,22.428224
2.0,7,22.437225
4.0,7,22.446225
2.0,7,22.456228
5.0,11,22.469228
2.0,7,22.478228
5.0,11,22.492227
4.0,15,22.509757
3.0,7,22.518757
1.0,4,22.523757
9.0,19,22.546757
8.0,38,22.591524
9.0,27,22.624042
7.0,14,22.641071
1.0,3,22.645066
