#{"t_start": 1743793487.1829495, "env_id": "sneaky_enemies"}
r,l,t
6.0,19,20.37288
7.0,10,20.384967
3.0,15,20.40325
3.0,27,20.436168
3.0,11,20.44874
10.0,28,20.483262
10.0,19,20.506402
2.0,3,20.509938
2.0,3,20.514952
3.0,8,20.525712
3.0,8,20.535284
3.0,4,20.540859
2.0,11,20.553961
1.0,5,20.559994
3.0,8,20.570152
3.0,6,20.578276
10.0,21,20.605169
4.0,8,20.615739
7.0,14,20.632034
3.0,5,20.640001
4.0,27,20.672153
4.0,7,20.682728
4.0,18,20.70383
3.0,7,20.713189
2.0,7,20.721357
3.0,8,20.732045
5.0,14,20.74819
1.0,7,20.756654
2.0,13,20.773768
6.0,19,20.796846
2.0,7,20.807276
3.0,11,20.821448
5.0,12,20.83549
4.0,9,20.848058
4.0,11,20.862382
2.0,11,20.874958
2.0,11,20.889103
3.0,9,20.900238
2.0,14,20.91731
5.0,24,20.946137
3.0,11,20.960278
4.0,13,20.977957
3.0,15,20.996638
4.0,8,21.006215
2.0,3,21.010216
9.0,27,21.043047
4.0,10,21.056115
3.0,6,21.063619
3.0,4,21.068619
4.0,11,21.081724
5.0,13,21.098298
3.0,6,21.106877
4.0,11,21.119984
3.0,11,21.133132
2.0,7,21.143587
4.0,8,21.153156
3.0,12,21.167565
2.0,6,21.177144
3.0,10,21.18831
1.0,4,21.193854
1.0,3,21.197883
3.0,12,21.212192
4.0,31,21.249208
6.0,12,21.263889
8.0,18,21.287964
4.0,12,21.302256
2.0,7,21.313727
3.0,10,21.325874
4.0,12,21.340021
3.0,11,21.355321
3.0,6,21.3629
1.0,2,21.365903
7.0,18,21.387204
5.0,14,21.403906
7.0,10,21.416452
3.0,15,21.436031
2.0,15,21.455065
3.0,6,21.462583
4.0,23,21.493137
8.0,19,21.517175
11.0,76,21.611335
2.0,7,21.620909
4.0,9,21.632027
3.0,15,21.654086
4.0,15,21.672256
3.0,15,21.692203
3.0,11,21.705802
8.0,19,21.728997
2.0,7,21.738512
2.0,3,21.742024
4.0,5,21.74903
2.0,7,21.757546
4.0,13,21.77527
3.0,8,21.785416
10.0,32,21.825415
3.0,23,21.854644
10.0,22,21.881198
2.0,11,21.895714
1.0,3,21.900222
4.0,7,21.910746
5.0,21,21.937389
3.0,15,21.956451
4.0,16,21.977531
2.0,7,21.986068
4.0,11,22.000069
7.0,14,22.018598
4.0,27,22.05227
3.0,9,22.063786
4.0,10,22.076304
1.0,2,22.079813
4.0,13,22.097342
3.0,19,22.120893
3.0,12,22.136932
8.0,23,22.165167
8.0,23,22.194729
2.0,27,22.226793
3.0,7,22.23631
3.0,14,22.253423
5.0,27,22.287993
3.0,19,22.31455
9.0,30,22.35214
2.0,15,22.370165
5.0,17,23.521881
12.0,47,23.584979
3.0,6,23.593486
2.0,7,23.605003
3.0,19,23.631187
2.0,6,23.641706
14.0,29,23.68174
5.0,26,23.717846
3.0,7,23.727536
9.0,20,23.75363
8.0,14,23.777238
4.0,7,23.787752
8.0,19,23.813279
3.0,6,23.82187
2.0,7,23.829978
5.0,16,23.851342
3.0,9,23.86289
7.0,30,23.900002
2.0,26,23.938294
2.0,11,23.953965
9.0,20,23.984382
11.0,80,24.082819
3.0,10,24.099887
8.0,22,24.132115
3.0,13,24.150285
10.0,20,24.17458
2.0,9,24.187162
4.0,18,24.208932
9.0,38,24.254478
10.0,30,24.291546
2.0,7,24.301067
5.0,11,24.31921
2.0,7,24.328182
8.0,15,24.348301
3.0,4,24.354846
7.0,18,24.377016
4.0,10,24.388578
4.0,7,24.398152
5.0,21,24.424424
4.0,13,24.440976
4.0,11,24.454492
11.0,53,24.522383
4.0,6,24.529949
3.0,10,24.542264
4.0,23,24.570531
5.0,15,24.589136
2.0,7,24.599268
2.0,23,24.627445
4.0,13,24.645223
3.0,10,24.657379
5.0,11,24.670492
8.0,26,24.704623
5.0,9,24.716223
2.0,7,24.72538
3.0,6,24.734497
9.0,18,24.756184
3.0,24,24.787355
2.0,7,24.796906
3.0,15,24.816984
3.0,5,24.82315
2.0,3,24.827119
3.0,22,24.855025
10.0,71,24.942094
3.0,6,24.950095
9.0,22,24.977947
3.0,35,25.024052
2.0,7,25.032194
8.0,18,25.05392
2.0,11,25.070021
8.0,27,25.102947
3.0,14,25.120118
10.0,16,25.139955
4.0,21,25.166137
3.0,7,25.174288
4.0,11,25.189987
5.0,21,25.215326
4.0,31,25.253011
2.0,15,25.273046
8.0,14,25.290068
5.0,35,25.333367
3.0,11,25.347943
4.0,19,25.370276
4.0,21,25.396128
4.0,11,25.409868
5.0,24,25.440619
3.0,15,25.459213
3.0,11,25.471933
3.0,11,25.487329
8.0,31,25.531381
4.0,21,25.562945
3.0,6,25.57045
2.0,9,25.581986
4.0,11,25.595503
4.0,22,25.622053
8.0,14,25.641802
3.0,10,25.654376
4.0,10,25.666955
2.0,23,25.694271
4.0,18,25.716913
2.0,3,25.721434
3.0,15,25.741481
11.0,40,25.790621
4.0,11,25.804144
4.0,20,25.830252
8.0,17,25.850286
7.0,22,25.877071
