#{"t_start": 1743759050.326193, "env_id": "chokepoint"}
r,l,t
4.0,15,8.151631
6.0,23,8.175632
8.0,29,8.206626
3.0,5,8.21263
0.0,2,8.215634
3.0,9,8.225633
10.0,29,8.256232
2.0,6,8.263237
7.0,17,8.281238
0.0,3,8.284237
7.0,17,8.302237
2.0,3,8.305235
7.0,13,8.319237
1.0,4,8.324238
3.0,23,8.347273
8.0,34,8.381814
3.0,9,8.391814
4.0,14,8.405813
7.0,29,8.435819
3.0,11,8.446819
3.0,23,8.471417
4.0,22,8.493417
8.0,14,8.508417
4.0,20,8.529417
3.0,12,8.542428
8.0,26,8.569025
3.0,21,8.591876
5.0,10,8.602875
3.0,7,8.609876
6.0,22,8.632878
7.0,23,8.657429
11.0,34,8.692428
3.0,9,8.701429
7.0,17,8.719434
6.0,16,8.736461
5.0,19,8.757028
4.0,13,8.771031
3.0,12,8.784029
8.0,37,8.82203
0.0,3,8.825042
6.0,15,8.841072
4.0,18,8.860643
2.0,8,8.869646
3.0,14,8.883643
8.0,15,8.899643
9.0,23,8.923643
3.0,7,8.931643
7.0,20,8.952762
4.0,23,8.976762
1.0,5,8.982762
2.0,7,8.989762
3.0,11,9.001762
1.0,17,10.150699
8.0,22,10.178704
7.0,16,10.197705
7.0,25,10.224705
3.0,11,10.236707
3.0,10,10.248738
7.0,16,10.266281
2.0,7,10.274281
4.0,24,10.300012
8.0,16,10.31701
9.0,22,10.341017
4.0,14,10.355528
4.0,8,10.364527
4.0,12,10.377558
7.0,13,10.391553
14.0,37,10.429553
3.0,9,10.438594
1.0,8,10.447593
3.0,11,10.459166
8.0,19,10.479166
7.0,21,10.501168
3.0,11,10.513166
3.0,22,10.536168
1.0,3,10.539203
6.0,9,10.549203
7.0,17,10.566776
3.0,7,10.574777
8.0,23,10.598771
4.0,13,10.612772
14.0,25,10.638809
4.0,14,10.65438
3.0,5,10.659385
4.0,20,10.681383
3.0,5,10.687383
3.0,9,10.697382
3.0,6,10.704389
3.0,9,10.713383
3.0,8,10.722379
3.0,19,10.742395
8.0,28,10.771968
4.0,10,10.782968
2.0,5,10.788967
4.0,13,10.802967
2.0,7,10.81097
3.0,6,10.816967
1.0,4,10.821967
3.0,23,10.845976
4.0,7,10.854543
3.0,8,10.862543
3.0,10,10.873543
8.0,15,10.889543
6.0,13,10.903512
0.0,2,10.90554
2.0,5,10.911546
3.0,12,10.924543
8.0,13,10.938578
2.0,7,10.946578
7.0,12,10.960119
9.0,15,10.977118
3.0,8,10.986149
3.0,18,11.005149
3.0,8,11.013149
9.0,26,11.041184
7.0,16,11.057752
7.0,14,11.07275
4.0,16,11.089755
7.0,19,11.10975
3.0,13,11.123757
6.0,10,11.134755
3.0,15,11.15079
2.0,10,11.162366
3.0,5,11.168334
7.0,17,11.186366
10.0,34,11.222361
10.0,36,11.25898
7.0,16,11.276978
9.0,17,11.294972
3.0,16,11.311982
3.0,18,11.331795
3.0,8,11.339823
3.0,15,11.356397
7.0,10,11.366398
2.0,8,11.375393
5.0,10,11.386368
3.0,8,11.3954
3.0,10,11.405368
7.0,21,11.427397
6.0,19,11.447433
7.0,21,11.46901
9.0,21,11.491013
9.0,16,11.508013
6.0,22,11.531013
4.0,12,11.544046
2.0,7,11.552585
4.0,19,11.572627
4.0,23,11.596621
3.0,8,11.605592
2.0,6,11.612623
3.0,7,11.619622
2.0,7,11.627628
4.0,10,11.638653
3.0,10,11.649653
3.0,7,11.657228
4.0,9,11.667231
2.0,9,11.677201
10.0,19,11.697201
2.0,18,11.716201
7.0,11,11.727201
3.0,13,11.741209
3.0,15,11.757725
3.0,6,11.764725
3.0,6,11.771725
8.0,13,11.785725
3.0,14,11.800725
9.0,23,11.824725
9.0,22,11.847734
3.0,8,11.856253
9.0,38,11.895268
3.0,11,11.90728
7.0,10,11.918286
4.0,20,11.939306
8.0,26,11.966885
7.0,21,11.988884
9.0,19,12.008889
3.0,8,12.017882
4.0,12,12.030887
9.0,32,12.065461
4.0,19,12.085462
6.0,10,12.095461
6.0,19,12.115461
7.0,13,12.130467
10.0,29,12.159975
9.0,28,12.190009
3.0,8,12.199524
4.0,10,12.210553
3.0,6,12.217553
7.0,9,12.227556
3.0,9,12.237553
7.0,14,12.252592
3.0,10,12.263174
4.0,20,12.285143
3.0,10,12.296172
9.0,17,12.314142
3.0,8,12.323142
5.0,21,13.48154
7.0,14,13.497543
13.0,38,13.544543
3.0,7,13.554056
8.0,32,13.589087
2.0,11,13.601052
10.0,17,13.619054
8.0,21,13.643061
7.0,12,13.658408
3.0,9,13.669408
3.0,5,13.676412
2.0,10,13.686411
10.0,24,13.711441
3.0,9,13.722414
9.0,15,13.73842
3.0,9,13.748421
0.0,1,13.75042
3.0,5,13.755931
4.0,10,13.766932
11.0,28,13.795933
7.0,25,13.824613
3.0,6,13.83261
7.0,13,13.851621
1.0,4,13.857137
7.0,11,13.870141
3.0,7,13.880136
2.0,8,13.889136
1.0,2,13.892136
7.0,16,13.909135
8.0,17,13.927167
3.0,4,13.933141
0.0,2,13.935141
3.0,6,13.945143
5.0,10,13.955651
10.0,40,13.999653
12.0,22,14.023682
3.0,7,14.031681
3.0,4,14.036681
3.0,21,14.058287
