#{"t_start": 1743396032.1313481, "env_id": "sneaky_enemies"}
r,l,t
2.0,11,11.994679
4.0,15,12.012673
3.0,14,12.029674
2.0,11,12.042677
3.0,19,12.064673
3.0,7,12.073674
1.0,3,12.077643
5.0,13,12.093674
3.0,23,12.120668
4.0,10,12.13268
2.0,11,12.146643
2.0,7,12.155673
4.0,23,12.182674
6.0,19,12.204673
4.0,11,12.218673
3.0,15,12.23667
3.0,19,12.259675
3.0,15,12.276673
6.0,23,12.304643
1.0,7,12.312681
5.0,23,12.339674
8.0,27,12.371675
3.0,27,12.403244
3.0,18,12.424248
3.0,15,12.442248
3.0,9,12.453239
3.0,4,12.459247
4.0,23,12.486247
3.0,15,12.504247
2.0,15,12.521247
2.0,15,12.540244
2.0,6,12.548247
7.0,54,12.614246
3.0,40,12.662248
4.0,31,12.699247
4.0,16,12.719247
4.0,16,12.739249
4.0,13,12.755247
3.0,11,12.769247
3.0,15,12.787244
3.0,27,12.819247
2.0,11,12.832247
4.0,8,12.84225
4.0,11,12.855247
4.0,11,12.86925
2.0,15,12.886248
5.0,15,12.904247
2.0,11,12.918247
2.0,11,12.931248
1.0,2,12.934247
3.0,13,12.94925
2.0,3,12.954248
2.0,11,12.967242
2.0,23,12.995221
4.0,28,13.028219
3.0,23,13.056248
1.0,9,13.067249
3.0,19,13.089247
2.0,11,13.103247
3.0,11,13.116245
2.0,7,13.125251
7.0,35,13.166249
3.0,11,13.179247
2.0,7,13.188217
3.0,15,13.206247
2.0,11,13.219249
2.0,7,13.22922
5.0,28,13.26222
4.0,13,13.278215
4.0,14,13.296247
4.0,9,13.307242
4.0,8,13.317241
3.0,7,13.326252
2.0,7,13.335251
2.0,7,13.344217
2.0,7,13.353246
4.0,18,13.375247
2.0,7,13.384247
5.0,23,13.412247
2.0,11,14.511647
2.0,7,14.520647
2.0,11,14.533645
5.0,12,14.548645
2.0,7,14.559649
3.0,7,14.571646
2.0,7,14.582645
2.0,3,14.587646
6.0,26,14.624646
3.0,15,14.647645
9.0,30,14.690648
4.0,7,14.702646
2.0,11,14.715678
11.0,41,14.766976
8.0,18,14.790007
3.0,11,14.802977
5.0,47,14.859975
6.0,14,14.876976
1.0,4,14.882977
2.0,7,14.891979
2.0,3,14.896981
4.0,19,14.919978
4.0,23,14.949976
4.0,12,14.965002
4.0,22,14.991008
5.0,16,15.011006
2.0,19,15.033975
12.0,42,15.085007
2.0,7,15.093008
2.0,3,15.097977
1.0,4,15.102978
3.0,7,15.111979
3.0,15,15.130002
3.0,7,15.138979
