#{"t_start": 1743793581.931727, "env_id": "sneaky_enemies"}
r,l,t
3.0,19,21.222741
3.0,23,21.251925
2.0,19,21.274731
10.0,50,21.333477
3.0,15,21.352038
5.0,19,21.375721
3.0,7,21.384544
8.0,27,21.417773
5.0,15,21.43592
5.0,14,21.453058
3.0,8,21.462599
2.0,7,21.470633
4.0,8,21.480742
3.0,14,21.50099
2.0,15,21.519072
3.0,15,21.538123
5.0,33,21.578191
4.0,15,21.596551
5.0,13,21.612068
4.0,26,21.64313
12.0,67,21.725292
2.0,11,21.740845
8.0,18,21.762524
10.0,27,23.012956
4.0,8,23.024482
2.0,8,23.037996
4.0,23,23.074057
13.0,54,23.152153
9.0,14,23.178207
2.0,3,23.18673
3.0,5,23.199249
2.0,7,23.212272
4.0,25,23.254384
10.0,18,23.284437
3.0,16,23.306149
8.0,19,23.33079
3.0,15,23.348872
9.0,14,23.369911
3.0,9,23.380426
5.0,19,23.405333
2.0,11,23.420907
9.0,19,23.443619
1.0,3,23.449622
4.0,23,23.477311
6.0,15,23.496851
5.0,27,23.5294
11.0,35,23.571972
2.0,7,23.580983
10.0,31,23.617632
3.0,10,23.629195
7.0,21,23.654875
3.0,6,23.663473
4.0,7,23.672006
4.0,11,23.686155
2.0,10,23.70072
1.0,3,23.704272
4.0,9,23.715877
1.0,3,23.719877
3.0,11,23.733024
2.0,7,23.74359
2.0,7,23.753149
2.0,3,23.758153
7.0,19,23.781833
6.0,20,23.805664
4.0,15,23.824737
4.0,7,23.834309
5.0,15,23.852451
4.0,8,23.863052
3.0,15,23.880625
3.0,6,23.889836
10.0,24,23.919533
3.0,7,23.928074
10.0,29,23.96319
2.0,7,23.97272
2.0,7,23.980752
9.0,18,24.003976
2.0,15,24.022109
11.0,37,24.069395
2.0,7,24.077972
3.0,13,24.093627
8.0,27,24.127347
2.0,9,24.137916
8.0,26,24.170629
2.0,3,24.174172
4.0,10,24.18728
4.0,23,24.216536
4.0,7,24.226104
11.0,26,24.257398
8.0,30,24.294164
3.0,11,24.306763
4.0,5,24.313335
2.0,7,24.324214
3.0,6,24.332821
3.0,11,24.346074
3.0,19,24.369218
7.0,18,24.390493
8.0,18,24.413904
3.0,8,24.424447
2.0,11,24.438087
4.0,23,24.467359
4.0,9,24.477936
1.0,11,24.492173
4.0,6,24.50021
3.0,7,24.509353
3.0,16,24.528383
3.0,8,24.538902
3.0,11,24.551927
9.0,11,24.566451
2.0,24,24.59552
5.0,15,24.613632
4.0,14,24.634723
4.0,18,24.657857
4.0,18,24.681942
3.0,7,24.690959
9.0,34,24.732674
5.0,20,24.758425
4.0,13,24.775498
4.0,17,24.796769
7.0,13,24.812923
4.0,15,24.830497
5.0,21,24.856205
10.0,30,24.893063
3.0,6,24.901058
3.0,7,24.912311
8.0,19,24.935021
3.0,8,24.945564
6.0,19,24.969721
3.0,27,25.001983
6.0,23,25.030704
12.0,63,25.10479
4.0,21,25.132467
3.0,7,25.140499
3.0,11,25.154612
9.0,14,25.171214
2.0,11,25.185863
9.0,22,25.213611
3.0,14,25.231188
4.0,10,25.247255
1.0,5,25.254415
9.0,18,25.276565
4.0,5,25.283163
4.0,28,25.316979
3.0,10,25.329488
1.0,19,25.352159
2.0,11,25.367767
12.0,47,25.424725
4.0,43,25.478374
2.0,7,25.487395
3.0,7,25.495905
4.0,11,25.509443
5.0,19,25.533136
3.0,10,25.546657
13.0,26,25.579283
7.0,18,25.601006
9.0,13,25.618815
3.0,11,26.949797
3.0,7,26.96031
3.0,8,26.972329
10.0,21,27.001861
8.0,23,27.04737
10.0,22,27.076905
5.0,11,27.095443
3.0,15,27.113459
9.0,42,27.179182
5.0,31,27.227834
3.0,11,27.245456
4.0,13,27.265492
2.0,3,27.27049
2.0,3,27.275
10.0,27,27.309781
7.0,14,27.329474
4.0,11,27.343489
3.0,17,27.364587
2.0,11,27.378148
2.0,7,27.386716
2.0,7,27.395851
10.0,34,27.436696
4.0,15,27.456417
10.0,42,27.504777
1.0,3,27.508808
3.0,10,27.520959
8.0,26,27.553195
8.0,14,27.569756
4.0,13,27.58586
9.0,21,27.610528
11.0,99,27.746508
12.0,21,27.771276
3.0,10,27.783323
7.0,11,27.799962
10.0,34,27.840255
3.0,7,27.848822
4.0,17,27.870966
9.0,22,27.897871
1.0,3,27.901868
4.0,8,27.912748
8.0,18,27.934893
4.0,17,27.955035
4.0,11,27.968633
9.0,28,28.003002
12.0,36,28.046288
4.0,10,28.058857
6.0,35,28.100283
3.0,15,28.120992
2.0,8,28.130566
3.0,15,28.149706
10.0,26,28.181011
3.0,23,28.209206
8.0,14,28.22724
8.0,22,28.255878
3.0,4,28.260877
2.0,7,28.270035
3.0,27,28.301923
8.0,14,28.318528
3.0,11,28.333671
3.0,15,28.351244
2.0,11,28.364385
3.0,35,28.407944
2.0,7,28.417548
3.0,16,28.436592
3.0,11,28.45116
5.0,16,28.470194
3.0,7,28.478709
9.0,22,28.506782
4.0,15,28.524816
2.0,7,28.533334
4.0,15,28.552969
8.0,18,28.574005
4.0,16,28.594553
10.0,15,28.612582
4.0,15,28.632615
1.0,4,28.63762
3.0,19,28.660654
2.0,11,28.673688
3.0,10,28.686205
2.0,19,28.709756
7.0,14,28.727793
7.0,10,28.740311
1.0,4,28.745827
9.0,19,28.769861
3.0,19,28.793914
10.0,104,28.918342
3.0,16,28.938373
5.0,12,28.952397
8.0,18,28.974442
5.0,11,28.987959
11.0,102,29.109178
4.0,19,29.133724
2.0,11,29.147247
2.0,3,29.151247
3.0,19,29.174795
6.0,16,29.194345
7.0,10,29.207861
9.0,23,29.23441
3.0,8,29.244927
4.0,16,29.264959
4.0,15,29.282991
5.0,20,29.308155
2.0,7,29.316688
2.0,7,29.325259
11.0,20,29.351021
5.0,17,29.373277
7.0,15,29.391951
10.0,22,29.418184
3.0,18,29.44031
8.0,18,29.462573
4.0,7,29.470605
4.0,12,29.485719
5.0,20,29.51026
5.0,31,29.547328
