#{"t_start": 1743793677.0944746, "env_id": "sneaky_enemies"}
r,l,t
2.0,9,12.718004
1.0,7,12.727524
4.0,19,12.755083
2.0,11,12.768602
3.0,19,12.792671
4.0,19,12.815788
4.0,22,12.845325
4.0,27,12.881374
9.0,42,12.934065
3.0,11,12.947572
4.0,13,12.9636
3.0,11,12.977118
2.0,11,12.991659
4.0,15,13.011237
5.0,14,13.037914
8.0,23,13.065654
4.0,14,13.086845
3.0,13,13.109897
3.0,15,13.142905
4.0,10,13.164945
2.0,7,13.179899
2.0,3,13.186917
4.0,23,13.224104
4.0,36,13.274362
3.0,19,13.304421
3.0,33,13.360519
3.0,18,13.386747
3.0,11,13.40282
3.0,23,13.431472
3.0,16,13.452314
4.0,7,13.461854
2.0,11,13.475424
5.0,21,13.504189
3.0,27,13.538777
5.0,25,13.569833
1.0,3,13.574853
3.0,23,13.604927
1.0,8,13.616443
2.0,7,13.624963
3.0,15,13.643995
4.0,7,13.656546
6.0,13,13.672638
3.0,37,13.719934
1.0,7,13.729975
3.0,5,13.736512
3.0,15,13.754612
9.0,30,13.793292
4.0,19,13.816435
4.0,47,13.87457
3.0,11,13.888579
3.0,10,13.90632
4.0,15,13.928364
5.0,27,13.9636
3.0,7,13.97218
2.0,11,13.986751
8.0,23,14.014527
3.0,12,14.029045
2.0,15,14.04814
5.0,34,14.089979
4.0,10,14.10212
3.0,27,14.135205
1.0,6,14.142764
2.0,7,14.152255
3.0,5,14.159255
2.0,7,14.167738
4.0,12,14.182792
3.0,8,14.196076
2.0,11,14.211107
4.0,19,14.234128
2.0,15,14.252166
3.0,15,14.271203
4.0,18,14.297496
1.0,3,14.302004
3.0,19,14.326066
2.0,7,14.335545
2.0,7,14.344056
3.0,5,14.351566
2.0,35,14.393723
2.0,7,14.40424
4.0,19,14.429179
4.0,19,14.458732
2.0,23,14.487174
4.0,11,14.501431
2.0,13,14.517002
3.0,11,14.53106
3.0,31,14.567802
5.0,18,14.591857
3.0,7,14.60099
4.0,11,14.615232
4.0,15,14.634261
4.0,20,14.659192
3.0,8,14.668708
3.0,14,14.685738
4.0,27,14.721322
3.0,11,14.734845
4.0,14,14.752878
4.0,13,14.768392
3.0,24,14.799961
3.0,23,14.835533
4.0,11,14.849047
4.0,27,16.264546
4.0,12,16.282585
1.0,19,16.311637
4.0,13,16.332684
1.0,6,16.341194
